Country,Continent,Total_Deaths,CPI
Saudi Arabia,Asia,647,80.94655101
Senegal,Africa,1555,70.92179011
Serbia,Europe,96,89.4781117
Serbia Montenegro,Europe,21,68.42163694
Seychelles,Africa,8,68.33362382
Sierra Leone,Africa,6734,70.68156579
Singapore,Asia,36,67.15801106
Sint Maarten (Dutch part),Americas,4,95.87816577
Slovakia,Europe,203,79.09587575
Slovenia,Europe,301,82.42720781
Solomon Islands,Oceania,803,48.22573331
Somalia,Africa,49975,70.89372633
South Africa,Africa,2286,69.87743019
South Sudan,Africa,502,93.21008147
Soviet Union,Europe,3857096,35.84241396
Spain,Europe,17329,66.12638927
Sri Lanka,Asia,40035,69.07670876
Sudan (the),Africa,163775,72.29875106
Suriname,Americas,5,81.5337423
Swaziland,Africa,709,64.04298769
Sweden,Europe,43,61.46726081
Switzerland,Europe,1391,59.48346273
Syrian Arab Republic,Asia,225,75.18441523
Taiwan (Province of China),Asia,16982,51.45641951
Tajikistan,Asia,2493,73.45354828
"Tanzania, United Republic of",Africa,10463,70.57119302
Thailand,Asia,14611,68.45221695
Timor-Leste,Asia,32,78.26060264
Togo,Africa,1199,75.06515982
Tonga,Oceania,24,44.4848924
Trinidad and Tobago,Americas,47,40.1013304
Tunisia,Africa,994,45.8287682
Turkey,Asia,97007,42.84334243
Turkmenistan,Asia,11,67.35575898
Turks and Caicos Islands (the),Americas,4,84.21522909
Tuvalu,Oceania,6,16.35652475
Uganda,Africa,205039,75.67903215
Ukraine,Europe,1504,76.16862251
United Kingdom of Great Britain and Northern Ireland (the),Europe,8304,65.41392387
United States of America (the),Americas,43305,59.25952553
Uruguay,Americas,42,69.36722436
Uzbekistan,Asia,87,65.33397797
Vanuatu,Oceania,256,56.48033483
Venezuela (Bolivarian Republic of),Americas,31280,59.42970103
Viet Nam,Asia,27183,70.85121614
Virgin Island (British),Americas,9,95.87816577
Virgin Island (U.S.),Americas,17,79.12909332
Wallis and Futuna,Oceania,6,49.68888774
Yemen,Asia,2235,81.71694992
Yemen Arab Rep,Asia,2857,26.08372334
Yemen P Dem Rep,Asia,507,43.11759373
Yugoslavia,Europe,1413,22.16675034
Zambia,Africa,1420,73.24767062
Zimbabwe,Africa,7604,76.95905467
